objectId,gmag,rmag,g_minus_r,jd_g_minus_r,jdmin,ramean,decmean,glatmean,dmdt_g,mag_g02,mag_g08,mag_g28,maggmax,maggmean,maggmin,mag_r02,mag_r08,mag_r28,dmdt_r,magrmax,magrmin,distpsnr1,dmdt_g_err,dmdt_r_err,sgmag1,srmag1,classification,catalogue_object_id,separationArcsec,northSeparationArcsec,eastSeparationArcsec,physical_separation_kpc,distance,classificationReliability,major_axis_arcsec,tns_name,type,ra,decl,galactic_plane,g_r_days_from_fl,z,source_label
ZTF24aakajby,20.545,19.6891,1.3399,2460476.8957986,2460459.9202894,276.0157251363637,5.338981745454546,8.512272581373455,-0.0304491,20.54,20.3457,19.9572,20.545,20.0612,19.6159,19.6748,19.4878,19.2195,-0.0470705,19.6891,18.9995,2.41386,0.0528885,0.0452344,-999.0,21.7861,SN,2MASSJ18240410+0520273,8.347,6.9,4.7,0.0,0.0,3.0,0.0,2024hcl,SN Ia,276.0157362,5.3389867,yes,16.97550919977948,0.037,SN Ia
ZTF25acfwpoa,20.4928,19.3896,1.10318,2461059.6130324,2461030.5946875,341.93496054705884,39.31637031176471,-17.563033889991658,332.349,20.6505,20.5667,19.7252,20.6505,18.9713,18.0848,19.3734,19.2169,18.804,-0.0251643,19.3896,18.2082,5.40596,831.018,0.0466477,-999.0,-999.0,UNCLEAR,155183419347020489,0.429,0.42526,0.05428,0.0,0.0,3.0,4.425,2025afxi,SN Ia,341.9350939,39.3163506,no,29.01834490010515,0.06,SN Ia
ZTF24aaisoke,20.1518,19.9044,0.896999,2460447.7628935,2460436.9711227,200.00419744363637,79.9577432690909,37.083910023438705,-213.845,19.7688,19.5908,19.3757,20.1518,19.6714,19.2334,19.9282,19.7434,19.3684,0.137324,20.0637,18.9715,0.970172,181.605,0.237644,20.6481,20.3271,UNCLEAR,N44V003190,1.319,1.09007,0.74343,0.0,0.0,3.0,0.0,2024got,SN Ia,200.0040025,79.9577959,no,10.79177080001682,0.085,SN Ia
ZTF22aalizik,20.901,20.6365,0.972401,2459766.8292593,2459760.8089815,267.520130817647,26.434276958823528,24.444305075748616,-0.106169,20.8089,20.5282,20.3676,20.901,20.5219,20.2834,20.6154,20.3208,19.8848,0.0328649,20.7022,19.5251,5.37588,0.127425,0.1593,-999.0,-999.0,UNCLEAR,139722675201711666,0.18,0.15996,-0.08112,0.0,0.0,3.0,6.03,2022kzz,SN Ia-91T-like,267.520125,26.434289,no,6.020277800038457,0.096,SN Ia
ZTF23aasovdv,19.2208,18.5972,0.8981,2460188.6719329,2460165.6936921,243.25850411333332,26.977878753333332,45.43321874772867,-0.00634226,19.1966,18.8818,18.2085,19.2208,18.5545,17.5242,18.5827,18.4023,18.0086,-0.0456565,18.5972,17.504,10.4254,0.0760223,0.0214716,15.6599,15.1624,UNCLEAR,1237662640658645230,0.29,-0.03064,-0.2905,0.0,0.0,3.0,0.0,2023nnx,SN Ia,243.2585,26.977869,no,22.978240800090138,0.05,SN Ia
ZTF23abjqxbe,19.7634,20.2058,0.4928,2460261.935,2460261.7774769,67.11408068333333,-17.89090645,-39.40933898085654,-0.2692,19.6013,19.5289,19.5074,19.7634,19.6308,19.4982,20.152,20.0819,19.7117,-0.0984636,20.2058,19.0054,23.94,0.201395,0.210964,-999.0,21.4004,UNCLEAR,86530671141691206,0.075,-0.07538,0.00106,0.0,0.0,3.0,0.0,2023upt,SN Ia,67.1141461929,-17.8908765115,no,0.1575231002643704,0.06,SN Ia
ZTF23abbakmt,20.6819,20.0511,0.495501,2460231.6706019,2460207.6688542,310.5529670642857,-12.88079897142857,-30.32176533275123,-0.0435916,20.6774,20.4293,19.7636,20.6819,19.7515,19.0605,20.1046,20.0459,19.6539,0.0681223,20.2378,19.1425,19.1988,0.0475047,0.146624,22.1967,21.2644,UNCLEAR,92543105529513292,0.31,-0.30888,0.02012,0.0,0.0,3.0,3.82,2023rhf,SN Ia,310.552942453,-12.8808076822,no,24.00174770038575,0.101,SN Ia
ZTF25abikagm,20.3782,19.8523,0.5816,2460922.9712616,2460900.8910764,71.74529702105262,84.45952209473683,24.170348574702395,-0.0811528,20.3519,19.9905,19.4564,20.3782,19.5276,18.9952,19.8522,19.7149,19.4605,0.0205543,19.895,19.204,0.207641,0.0556005,0.144823,21.5727,20.9216,UNCLEAR,NABB009894,0.38,0.11588,0.36224,0.0,0.0,3.0,0.0,2025tss,SN Ia,71.7450904,84.4595203,no,22.08018520008773,0.09,SN Ia
ZTF25acehjpc,20.4298,19.365,0.787201,2461059.7146296,2461031.7071181,53.01046485384616,5.175308769230769,-39.520635316843965,-0.04842,20.4045,20.2576,19.8847,20.4298,20.0368,19.386,19.4337,19.415,19.2715,0.139796,19.6426,19.1011,6.39274,0.0881034,0.123983,21.9317,21.1155,SN,1237673325999358250,2.514,0.17551,2.5074,0.0,0.0,3.0,0.0,2025aeuo,SN Ia,53.010472,5.1753504,no,28.007511499803513,0.06,SN Ia
ZTF22abatsqa,20.3827,19.7522,1.1584,2459845.7227894,2459824.695,283.09456405333333,85.19042744,27.005242863458133,0.0122869,20.3683,20.037,19.3668,20.407,19.6635,18.7314,19.6724,19.4559,19.0654,-0.0647511,19.7522,18.4851,0.923627,0.171515,0.0882858,19.2578,18.8862,UNCLEAR,N0U0005636,0.76,-0.7608,0.0225,0.0,0.0,3.0,0.0,2022rjr,SN Ia,283.094474,85.190455725,no,21.027789399959147,0.061,SN Ia
ZTF25aatruwp,20.7579,20.5296,1.169,2460864.9423727,2460855.8681366,325.33284558076923,-18.07792000769231,-45.462557556814566,-0.122209,20.65,20.2356,19.9287,20.7579,20.2767,19.747,20.5094,20.3154,19.9587,0.0549378,20.6933,19.3951,9.79251,0.11249,0.11009,-999.0,-999.0,UNCLEAR,86303253328006856,0.089,-0.0733,0.05098,0.0,0.0,3.0,0.0,2025mzr,SN Ia,325.332858277,-18.0778630336,no,9.074236100073904,0.1,SN Ia
ZTF24abyxivp,20.428,20.1251,0.302864,2460695.6900694,2460673.8080556,78.00845545,-19.622489499999997,-30.36019493309063,-0.0692136,20.4271,20.2916,20.0491,20.428,19.8333,19.4599,20.0443,19.8384,19.812,-0.0384428,20.1251,19.5386,21.3384,0.0206698,0.20054,-999.0,21.3741,UNCLEAR,84450780085163310,0.127,0.01264,-0.12651,0.0,0.0,3.0,0.0,2024afos,SN Ia,78.0084515,-19.6224625,no,21.882013799622655,0.14,SN Ia
ZTF25abmkbaa,19.7341,19.142,-0.0154991,2460934.8394792,2460921.7562037,335.30356881333336,23.716777226666668,-27.55210569947925,-0.0749198,19.7334,19.5402,18.9966,19.7341,18.6014,18.2942,19.1419,19.0737,18.8551,-0.030484,19.142,18.5027,3.7451,0.0101115,0.00801876,21.6054,21.0785,UNCLEAR,136463353034760659,0.436,-0.34322,-0.26953,0.0,0.0,3.0,0.0,2025wdz,SN Ia,335.3035769,23.7167724,no,13.083275500219315,0.081,SN Ia
ZTF24ablthst,20.5828,19.4743,1.10847,2460637.769213,2460607.8688657,51.01459976666666,-15.717310833333334,-52.86253893199543,-0.0749794,20.5812,20.313,19.4071,20.5828,19.2948,18.2972,19.4429,19.3191,18.9268,-0.0428685,19.4743,18.3807,9.9528,0.0263614,0.213708,22.4408,21.5218,UNCLEAR,89130510146109439,0.237,-0.20185,0.12485,0.0,0.0,3.0,5.011,2024xol,SN Ia,51.0146104835,-15.7172848764,no,29.90034729987383,0.08,SN Ia
ZTF24abmqdcc,19.7685,19.8222,0.2547,2460624.8752546,2460607.8169444,56.97701433333333,6.707012091666667,-35.542470367773994,-0.0381135,19.7233,19.4961,19.2387,19.7685,19.3622,18.9616,19.8337,19.7379,19.3172,0.0177964,19.8742,18.7951,14.2861,0.0970938,0.091281,-999.0,-999.0,UNCLEAR,116040569767118856,0.163,0.09086,-0.13547,0.0,0.0,3.0,3.937,2024ygt,SN Ia,56.9770060221,6.70700966353,no,17.058310199994594,0.081,SN Ia
ZTF23abscruh,19.6607,19.5261,0.3654,2460307.6489005,2460288.7153472,33.137608400000005,79.33653172000001,17.075571848420797,-0.0570199,19.6589,19.4777,19.0952,19.6607,18.9392,18.767,19.5157,19.3012,18.9776,-0.0331495,19.5261,18.5839,0.223636,0.0219942,0.0304784,21.2652,20.725,UNCLEAR,NAGM012572,1.146,1.137,0.15,0.0,0.0,3.0,0.0,2023yxf,SN Ia,33.137583,79.336561,no,18.933553299866617,0.078,SN Ia
ZTF23aaelwoi,19.108,18.8834,-0.00909996,2460061.6652315,2460036.7317361,149.2495958526316,-25.403210400000003,22.73576460361957,-0.116626,19.0004,18.7056,18.4732,19.108,18.5837,18.2976,18.7903,18.6496,18.9323,-0.0955645,19.4802,18.3576,7.42275,0.0997376,0.079287,18.0642,17.3928,UNCLEAR,77511492496386371,0.16,-0.11716,0.10331,0.0,0.0,3.0,4.09,2023eso,SN Ia,149.24960115556,-25.403190277778,no,24.933495400007818,0.064,SN Ia
ZTF25aasfmrt,20.1613,19.9121,0.5324,2460832.8989236,2460821.9631366,327.62323095,-13.6556354,-45.7787343649056,-0.12405,20.0723,19.7845,19.5578,20.1613,19.7326,19.4169,19.9114,19.8272,19.5743,-0.0233705,19.9121,19.2932,11.5795,0.150599,0.018226,-999.0,21.8229,UNCLEAR,91613276231383452,0.687,-0.59888,-0.33617,0.0,0.0,3.0,5.139,2025lwt,SN Ia,327.6231954,-13.6556396,no,10.93578700022772,0.09,SN Ia
ZTF23abccont,20.8403,20.5911,0.2976,2460231.9358218,2460211.9571065,55.92266068333333,11.417385216666668,-33.167943746488845,-0.0214432,20.837,20.6954,20.3195,20.8403,20.4304,19.9288,20.636,20.5085,20.0757,0.0838092,20.7624,19.5522,20.6993,0.0485656,0.156427,20.6578,19.6471,UNCLEAR,121700559224231275,0.65,-0.156,-0.631,0.0,0.0,3.0,4.15,2023scn,SN Ia,55.9226182213,11.4173783323,no,19.978715300094336,0.1,SN Ia
ZTF23abayagw,20.4471,19.849,1.1667,2460238.7386227,2460222.7233102,280.556243975,80.88455604375,27.122315156590673,-0.166237,20.3457,20.0434,19.5757,20.4471,19.7917,19.2033,19.8454,19.6381,19.1279,-0.0510789,19.849,18.5884,5.18334,0.176186,0.0221836,20.3204,19.5854,SN,GALEXASCJ184214.45+805259.7,5.09,-4.479,2.422,0.0,0.0,3.0,0.0,2023rki,SN Ia,280.55621978,80.88454973,no,16.015312499832362,0.05,SN Ia
ZTF23aagphxh,19.3748,18.8051,0.597099,2460083.706412,2460063.675706,148.04646156363634,38.738393663636366,51.06070326721929,-0.0559929,19.317,18.9915,18.4687,19.3748,18.8401,17.9774,18.8047,18.7564,18.4994,-0.00301101,18.8051,18.0531,6.8653,0.0817141,0.0158217,21.0983,-999.0,UNCLEAR,154481480464466937,0.91,0.87548,0.26079,0.0,0.0,3.0,5.81,2023ghu,SN Ia,148.0464494,38.7384693,no,20.030706000048667,0.06,SN Ia
ZTF25abvpmki,19.1948,18.9568,0.0816002,2461061.729294,2461037.7865394,86.14873673870969,58.56115420322581,14.80712227374708,79.6457,19.2317,19.1645,19.0205,19.2692,19.1478,18.8648,18.9731,18.9332,18.6783,0.0316219,19.2831,18.3093,1.56061,397.546,0.0417687,-999.0,21.6989,UNCLEAR,NAQQ013163,0.996,-1.71762,-0.28874,0.0,0.0,3.0,0.0,2025zox,SN Ia,86.148723333333,58.561160233333,yes,23.942754600197077,0.016,SN Ia
ZTF22aaogwbd,18.4952,18.6908,-0.195572,2459749.7847454,2459747.7057176,182.056229325,66.64023052499999,49.92810588908318,0.345759,18.7496,19.0263,19.128,19.174,18.8346,18.4952,18.9439,19.2265,19.3312,0.343975,19.3786,18.6908,16.2684,0.0745931,0.0617919,-999.0,21.5588,UNCLEAR,187961820561028973,0.37,-0.2441,-0.275,0.0,0.0,3.0,0.0,2022ncx,SN Ia-91T-like,182.056208,66.640239,no,2.0790277998894453,0.06,SN Ia
ZTF23aaqmveu,20.681,19.7146,0.9027,2460170.8244676,2460144.7857986,284.87854145789476,83.72783589999999,26.732689841262967,-0.0792541,20.6755,20.3559,19.6069,20.681,19.4121,18.8681,19.7052,19.5855,19.2282,-0.0326413,19.7783,18.8054,6.91904,0.039122,0.0888812,20.1404,19.8503,SN,GALEXASCJ185926.52+834340.7,7.08,0.5,-7.1,0.0,0.0,3.0,0.0,2023mkf,SN Ia,284.878652427,83.7278500385,no,26.03866899991408,0.09,SN Ia
ZTF26aaaails,19.2487,19.0874,-0.00670052,2461059.6941204,2461049.6144676,24.743290309523815,41.313364676190474,-20.678376195657453,-0.0235071,19.2284,19.1425,19.1585,19.2487,19.065,18.9476,19.0695,19.1361,19.2219,-4.44702,19.2832,18.9716,10.5207,0.037849,15.273,-999.0,21.872,UNCLEAR,157570247437726666,0.811,0.548,0.598,0.0,0.0,3.0,6.823,2026ni,SN Ia,24.7432509,41.313333,no,10.07965280022472,0.1,SN Ia
ZTF23aaftouh,18.996,19.8847,0.0922012,2460062.7325231,2460058.670625,161.82645992727274,-5.122994509090909,45.95890650141549,0.014599,19.0038,19.0317,19.0473,19.0553,19.0257,18.996,19.8984,19.7293,19.4549,0.0765822,19.9629,18.9038,24.5096,0.0331774,0.270375,-999.0,-999.0,UNCLEAR,101851618264142811,0.08,-0.0051,-0.0758,0.0,0.0,3.0,5.13,2023gav,SN Ia,161.82646285556,-5.1229759555556,no,4.061898100189865,0.125,SN Ia
ZTF22abnqzle,19.7746,19.0276,0.4694,2459903.6710532,2459877.8128819,340.01847647999995,-6.641207673333333,-52.69936586738075,-0.143373,19.6442,19.1997,18.6375,19.7746,18.8819,18.1012,19.0112,18.8601,18.6411,-0.0218173,19.0276,18.2565,11.7477,0.139403,0.0361507,21.5955,-999.0,UNCLEAR,1237680242515444765,0.27,0.0644,0.2618,0.0,0.0,3.0,4.99,2022ydl,SN Ia,340.018495516,-6.64118920061,no,25.858171300031245,0.07,SN Ia
ZTF22aaxnxer,20.8553,19.8264,1.1397,2459825.781794,2459813.7517245,305.6199693266666,-14.70909975333333,-26.66760133491737,-0.0455957,20.8548,20.6749,19.9442,20.8553,19.8328,19.03,19.8259,19.6906,19.2419,-0.0473772,19.8264,18.7507,6.17569,0.0271481,0.0158822,21.727,20.6235,UNCLEAR,90343056198399461,0.68,0.12433,-0.6636,0.0,0.0,3.0,0.0,2022qbp,SN Ia,305.619949171,-14.7090927935,no,12.03006949974224,0.05,SN Ia
ZTF24abywmfw,19.6638,19.7609,-0.0153008,2460673.9186111,2460664.8269097,110.34151212857144,6.252370000000001,9.489158849305342,0.0839784,19.7083,19.7544,19.7732,19.8969,19.7728,19.6638,19.7679,19.9069,20.0678,0.0178818,20.1746,19.7609,10.7479,0.0912562,0.0326413,19.26,18.593,UNCLEAR,115501103413033383,0.419,-0.09703,-0.4073,0.0,0.0,3.0,5.345,2024agiq,SN Ia,110.3415087,6.2523924,yes,9.091701400000602,0.132,SN Ia
ZTF22abfwbgr,20.4153,19.9162,0.6593,2459870.8239699,2459842.8100694,347.61090556666664,30.153941375,-27.83864075319183,-0.0867899,20.3344,19.9235,19.2818,20.4153,19.2944,18.642,19.8381,19.5408,19.0429,-0.082536,19.9162,18.4904,6.64343,0.113119,0.121808,18.4116,21.8755,UNCLEAR,144183476108445523,0.71,0.68773,-0.17928,0.0,0.0,3.0,0.0,2022ufg,SN Ia,347.610902435,30.1539364028,no,28.013900500256568,0.069,SN Ia
ZTF25abzmbay,20.7135,19.6952,1.01831,2461030.9595255,2461003.0597917,155.95739978,-9.16879268,39.045640072013846,-0.0741539,20.7135,20.6294,20.0131,20.7135,19.5766,18.9339,19.6876,19.5212,19.1698,-0.0553744,19.7871,18.8711,11.7323,0.0208482,0.202171,-999.0,-999.0,UNCLEAR,96991559572178013,0.228,-0.15407,-0.16798,0.0,0.0,3.0,5.202,2025acfx,SN Ia,155.9573724,-9.1687619,no,27.899733799975365,0.06,SN Ia
ZTF18aczbgpm,17.7391,18.517,-0.0977001,2458487.6315856,2458475.6295255,352.20494122857144,28.3606737,-31.079494823242214,0.00782886,23734.2,28.17,19.6778,18.7714,18.0513,17.6999,-268.063,15.303,17.4137,0.0600766,18.517,17.7976,6.39175,-0.0141155,-0.0079213,-999.0,-999.0,UNCLEAR,AGC333543,46.71,-30.4,-35.5,22.59,104.61,3.0,-999.0,2018kie,SN Ia,352.204875,28.360681,no,12.00206009997055,0.06,SN Ia
ZTF23aantmqa,20.6257,19.7575,0.6639,2460147.8265509,2460132.7017361,229.67912822500003,79.471293935,35.34460447974254,-0.110481,20.5567,20.0937,19.5695,20.6257,19.8124,19.1843,19.7596,19.6714,19.3401,0.0230936,19.8933,18.8994,0.710009,0.106714,0.0501859,19.5309,19.3866,UNCLEAR,N459002779,0.57,0.55034,-0.14509,0.0,0.0,3.0,0.0,2023kxf,SN Ia,229.67916965556,79.471310911111,no,15.12481479998678,0.094,SN Ia
ZTF24aatccmo,19.9571,19.2202,0.736948,2460521.6769676,2460494.7522801,240.0040308636364,-19.5496866,24.698739646984333,-0.0108736,19.9176,19.5271,19.0105,19.9571,19.2936,18.5857,19.1992,19.0283,18.7917,-0.049303,19.2202,18.5101,8.05307,0.11064,0.061469,-999.0,21.4284,UNCLEAR,84542400039440927,0.912,0.79846,-0.44008,0.0,0.0,3.0,7.398,2024mxr,SN Ia,240.004017733,-19.5496515111,no,26.92468750011176,0.059,SN Ia
ZTF25aadvjal,20.4619,19.9124,1.0051,2460761.7961343,2460750.7675231,151.70235749999998,39.53043455,53.808800738054714,-0.0186728,20.3907,20.1367,19.9619,20.4619,20.1799,19.8618,19.9116,19.7703,19.3639,-0.0349328,19.9124,18.9515,-999.0,0.161753,0.0182031,-999.0,-999.0,UNCLEAR,155431517026466846,0.756,-0.686,0.31654,0.0,0.0,3.0,0.0,2025arz,SN Ia,151.702301534,39.5304130227,no,11.02861119993031,0.065,SN Ia
ZTF23abavpyk,20.3123,19.3696,0.942663,2460228.7302778,2460202.9040972,352.77570495000003,-27.01569528,-72.13548707133758,-0.0534146,20.2878,19.9159,19.1869,20.3123,19.1541,18.4875,19.3694,19.2752,18.95,-0.0332696,19.3696,18.6047,24.3911,0.0798954,0.0124965,-999.0,21.7702,UNCLEAR,75583527756891189,0.7,-0.6703,0.18913,0.0,0.0,3.0,5.51,2023rfg,SN Ia,352.77578616,-27.0157069235,no,25.82618060009554,0.1,SN Ia
ZTF20acqksdi,20.0846,19.0282,1.0564,2459228.6707639,2459228.6278819,40.085199028571424,-1.4469084285714289,-53.383796994550735,-0.0432849,21.3876,20.3727,20.2857,20.2588,20.1717,20.0846,346999.0,34.617,20.8928,0.00443766,19.8516,19.0187,1.41859,-0.0952398,-0.118072,-999.0,-999.0,SN,CGCG388-092,6.16,6.66,1.4,4.53,163.2,2.0,-999.0,2020zpi,SN Ia,40.085208,-1.446861,no,0.0428820000961422,0.03726,SN Ia
ZTF20acwomqh,18.4209,18.512,-0.0910988,2459203.8980671,2459203.8980671,148.4469976526316,-5.335324421052631,36.198376654275975,-0.0650909,156969.0,41.4396,22.3071,20.4029,19.7121,18.4209,356158.0,31.7826,20.4362,0.000316714,19.4701,18.5076,5.99406,-0.0128581,-0.0165162,20.7031,20.1307,SN,GALEXASCJ095347.60-052012.7,6.16,-6.2,2.1,8.08,309.04,2.0,16.56,2020aciv,SN Ia,148.446985296,-5.33529853998,no,0.0,0.0686,SN Ia
ZTF21aaaewsb,18.7368,18.7496,-0.0128002,2459228.7709259,2459228.7312384,81.912017552,-6.147612952,-21.41883824861091,-3.52278,-102324.0,35.1593,21.9102,20.5899,19.5805,18.7368,262349.0,34.1812,20.9683,0.361316,19.8292,18.7052,1.34657,-3.61412,-1.2051,19.8788,19.4426,SN,2MASXJ05274121-0608497,34.82,1.613,34.784,32.44,210.87,2.0,-999.0,2021ae,SN Ia,81.9120516944,-6.14758981899,no,0.0396874998696148,0.068,SN Ia
ZTF20actskcf,19.9345,18.2255,1.2129,2459230.7711343,2459222.7130093,46.835899777777776,4.390532144444444,-44.504475889674985,-0.0187159,13234.4,25.2299,20.7568,20.3249,20.1297,19.9345,1314620.0,44.4312,20.7521,-0.0948394,19.4353,18.2255,3.40708,-0.0131785,-0.0560646,17.8549,16.7359,SN,2MASXJ03072040+0423263,3.19,0.396,-3.166,1.83,125.4,2.0,-999.0,2020abfa,SN Ia,46.835875,4.390511,no,8.058124999981374,0.028023,SN Ia
ZTF18aatrllk,18.1699,18.294,-0.1241,2459249.0154282,2459249.0154282,288.2243051857143,50.40115185714285,17.35599313407599,-0.00193918,24.576,18.6299,18.4169,18.3626,18.2662,18.1699,18.4475,18.1959,18.1912,0.0969407,18.294,18.0992,1.66886,-0.0247084,-0.05509,17.4785,17.0372,SN,2MFGC14798,1.35,1.1,-0.78,1.43,242.47,2.0,-999.0,2021brc,SN Ia,288.224292,50.40115,no,0.0,0.054368,SN Ia
ZTF20aaqnnrn,19.8018,19.2829,-0.0531006,2458909.7178472,2458903.7562963,138.36068125,16.434604,38.66200994588916,-1.33489,-11.7256,17.2548,18.382,19.8634,19.2856,18.6795,9.74403,18.135,18.5198,0.208694,19.2829,18.6263,1.57925,-5.62681,-0.21453,18.2813,17.3744,SN,1237667783352254661,1.64,0.58,-1.65,2.26,325.89,2.0,-999.0,2020efk,SN Ia,138.360117222,16.4346655556,no,5.961550900246948,0.072191,SN Ia
